x,y,z,pressure
0,0,0,2318.900067582105
0,0,10,4829.283214094778
0,0,20,7235.585496459438
0,0,30,9715.72694903447
0,0,40,12291.499650451553
0,0,50,14904.92982517388
0,0,60,17441.552932710263
0,10,0,2314.804056384116
0,10,10,4826.37806507699
0,10,20,7232.415357728051
0,10,30,9710.778913475877
0,10,40,12286.325390828988
0,10,50,14902.505055855574
0,10,60,17438.555672545495
0,20,0,2310.175902134827
0,20,10,4822.801883451588
0,20,20,7228.334422310601
0,20,30,9704.659541634463
0,20,40,12279.968984769963
0,20,50,14899.03004371766
0,20,60,17434.74236540256
0,30,0,2304.9502017030745
0,30,10,4818.465173176962
0,30,20,7223.218264861809
0,30,30,9697.210030627906
0,30,40,12272.266976343652
0,30,50,14894.356323138683
0,30,60,17429.99325586287
0,40,0,2299.0549306100247
0,40,10,4813.270055661747
0,40,20,7216.930803222214
0,40,30,9688.255791808202
0,40,40,12263.038316812741
0,40,50,14888.320865741727
0,40,60,17424.17408561553
0,50,0,2292.4113189266627
0,50,10,4807.11022742676
0,50,20,7209.32418468483
0,50,30,9677.605953609713
0,50,40,12252.08330135051
0,50,50,14880.745487993061
0,50,60,17417.1345893487
0,60,0,2284.9339960474354
0,60,10,4799.871252676714
0,60,20,7200.23910561234
0,60,30,9665.05335945911
0,60,40,12239.182891075705
0,60,50,14871.436646967568
0,60,60,17408.707089653006
0,70,0,2276.531542814019
0,70,10,4791.431351381234
0,70,20,7189.505778560949
0,70,30,9650.375346050327
0,70,40,12224.098712299865
0,70,50,14860.185878020719
0,70,60,17398.705394394194
0,80,0,2267.1076397374823
0,80,10,4781.662901099049
0,80,20,7176.9458404896395
0,80,30,9633.335702604816
0,80,40,12206.57415852984
0,80,50,14846.771239010593
0,80,60,17386.92431590687
0,90,0,2256.5630633960227
0,90,10,4770.434944033764
0,90,20,7162.375597708005
0,90,30,9613.688362185296
0,90,40,12186.33719985776
0,90,50,14830.960272340351
0,90,60,17373.1402928397
0,100,0,2244.798859795568
0,100,10,4757.617080876281
0,100,20,7145.611130363977
0,100,30,9591.183566068923
0,100,40,12163.105736721607
0,100,50,14812.515183387039
0,100,60,17357.113812989952
0,110,0,2231.7211111882534
0,110,10,4743.085238506431
0,110,20,7126.475930723258
0,110,30,9565.577471284067
0,110,40,12136.596623875383
0,110,50,14791.201162282285
0,110,60,17338.594616650098
0,120,0,2217.2478040696324
0,120,10,4726.729913126297
0,120,20,7104.811917796035
0,120,30,9536.646429352146
0,120,40,12106.53982820471
0,120,50,14766.799036153596
0,120,60,17317.33100421154
0,130,0,2201.318384681942
0,130,10,4708.467598322877
0,130,20,7080.494836348449
0,130,30,9504.207422299372
0,130,40,12072.699542162665
0,130,50,14739.123703232483
0,130,60,17293.084960668595
0,140,0,2183.9066247609944
0,140,10,4688.256178619855
0,140,20,7053.455171056432
0,140,30,9468.146340744162
0,140,40,12034.90438823741
0,140,50,14708.05001069593
0,140,60,17265.65519253871
0,150,0,2165.037366058623
0,150,10,4666.1150513356315
0,150,20,7023.705716143044
0,150,30,9428.455823005992
0,150,40,11993.08899800968
0,150,50,14673.547791020443
0,150,60,17234.910446428294
0,160,0,2144.8074960022373
0,160,10,4642.150552988489
0,160,20,6991.376726406777
0,160,30,9385.28407744022
0,160,40,11947.349033928014
0,160,50,14635.7275025886
0,160,60,17200.835464478245
0,170,0,2123.411035921425
0,170,10,4616.586801386574
0,170,20,6956.758981592153
0,170,30,9338.995249589118
0,170,40,11898.01085595505
0,170,50,14594.897098496003
0,170,60,17163.591359024787
0,180,0,2101.1673976981315
0,180,10,4589.80119295601
0,180,20,6920.353935541136
0,180,30,9290.240192145278
0,180,40,11845.71516076619
0,180,50,14551.629096365012
0,180,60,17123.59070035428
0,190,0,2078.550614445143
0,190,10,4562.362406701965
0,190,20,6882.928223095763
0,190,30,9240.033696212364
0,190,40,11791.510688681043
0,190,50,14506.83409121084
0,190,60,17081.58482777761
0,200,0,2056.215702799952
0,200,10,4535.066841352894
0,200,20,6845.567104058262
0,200,30,9189.830269789829
0,200,40,11736.94933768073
0,200,50,14461.833068192307
0,200,60,17038.756567773322
0,210,0,2035.016484637099
0,210,10,4508.967128168953
0,210,20,6809.718143790009
0,210,30,9141.58573205423
0,210,40,11684.168046591225
0,210,50,14418.416161514328
0,210,60,16996.805825489708
0,220,0,2016.0076725565013
0,220,10,4485.384205268513
0,220,20,6777.2132059423075
0,220,30,9097.787211659339
0,220,40,11635.936705965602
0,220,50,14378.870949408423
0,220,60,16958.009293350424
