x,y,z,pressure_Pa
0,0,0,257370.50036549423
0,0,10,515607.49822775857
0,0,20,769574.3922782033
0,0,30,1029248.9689517616
0,0,40,1269817.5252581716
0,0,50,1497545.147794438
0,0,60,1757781.4513232165
0,10,0,257360.98642685474
0,10,10,515711.5566085515
0,10,20,770171.2907367841
0,10,30,1029861.468683462
0,10,40,1270189.7206636919
0,10,50,1497231.6725687482
0,10,60,1758202.616313213
0,20,0,257346.54501745084
0,20,10,515815.0608638926
0,20,20,770793.1774717362
0,20,30,1030502.4637228727
0,20,40,1270576.281215865
0,20,50,1496896.566440058
0,20,60,1758652.5476278835
0,30,0,257326.1628134496
0,30,10,515916.6683741278
0,30,20,771438.6611235786
0,30,30,1031170.9753752977
0,30,40,1270975.9282941262
0,30,50,1496537.904745942
0,30,60,1759132.290028823
0,40,0,257298.73395821144
0,40,10,516014.8118256082
0,40,20,772105.6980839951
0,40,30,1031865.3856059932
0,40,40,1271386.9220073235
0,40,50,1496153.7935867894
0,40,60,1759642.593613188
0,50,0,257263.0817363374
0,50,10,516107.6973516954
0,50,20,772791.4664531304
0,50,30,1032583.2961019377
0,50,40,1271806.986990958
0,50,50,1495742.476880734
0,50,60,1760183.779090546
0,60,0,257217.99648493913
0,60,10,516193.31774040055
0,60,20,773492.2285966252
0,60,30,1033321.3684871632
0,60,40,1272233.237318407
0,60,50,1495302.4899522804
0,60,60,1760755.5631315638
0,70,0,257162.29583867465
0,70,10,516269.48819844914
0,70,20,774203.1868486187
0,70,30,1034075.1478564034
0,70,40,1272662.106128963
0,70,50,1494832.8735271292
0,70,60,1761356.8352907847
0,80,0,257094.91477371525
0,80,10,516333.9144207428
0,80,20,774918.3406602598
0,80,30,1034838.8751388097
0,80,40,1273089.288683998
0,80,50,1494333.463994964
0,80,60,1761985.3781037186
0,90,0,257015.0340690568
0,90,10,516384.305090041
0,90,20,775630.3589190099
0,90,30,1035605.2989915223
0,90,40,1273509.7117053086
0,90,50,1493805.2765476438
0,90,60,1762637.5237009348
0,100,0,256922.2562318851
0,100,10,516418.5429487378
0,100,20,776330.4886340423
0,100,30,1036365.505556551
0,100,40,1273917.5470557455
0,100,50,1493250.9958367178
0,100,60,1763307.7449311123
0,110,0,256816.83676625616
0,110,10,516434.92932772485
0,110,20,777008.5308453371
0,110,30,1037108.7950170215
0,110,40,1274306.2938119578
0,110,50,1492675.5818183927
0,110,60,1763988.188340859
0,120,0,256699.97455479408
0,120,10,516432.51493084506
0,120,20,777652.9260268183
0,120,30,1037822.6475681376
0,120,40,1274668.9586679565
0,120,50,1492086.9831830591
0,120,60,1764668.1727139824
0,130,0,256574.1562208292
0,130,10,516411.52240314987
0,130,20,778251.0027776151
0,130,30,1038492.8372431609
0,130,40,1274998.3684854778
0,130,50,1491496.9231151866
0,130,60,1765333.7026225564
0,140,0,256443.53351482877
0,140,10,516373.8506735874
0,140,20,778789.4515431179
0,140,30,1039103.7670512802
0,140,40,1275287.6472639116
0,140,50,1490921.6781449236
0,140,60,1765967.0830247602
0,150,0,256314.2883765963
0,150,10,516323.62408729835
0,150,20,779255.0828590353
0,150,30,1039639.1068691917
0,150,40,1275530.8776701186
0,150,50,1490382.7090337912
0,150,60,1766546.7667184847
0,160,0,256194.9078170294
0,160,10,516267.70937776344
0,160,20,779635.9073346518
0,160,30,1040082.8060116061
0,160,40,1275723.93814178
0,160,50,1489906.9282172672
0,160,60,1767047.6133513972
0,170,0,256096.25529422576
0,170,10,516216.0738083007
0,170,20,779922.5208496582
0,170,30,1040420.5112530895
0,170,40,1275865.4550378963
0,170,50,1489526.3192964445
0,170,60,1767441.768316328
0,180,0,256031.29959263807
0,180,10,516181.81061718997
0,180,20,780109.6854438192
0,180,30,1040641.3347434555
0,180,40,1275957.7357291346
0,180,50,1489276.5964841843
0,180,60,1767700.3517214116
0,190,0,256014.3677175244
0,190,10,516180.63770226063
0,190,20,780197.8698963239
0,190,30,1040739.7817373688
0,190,40,1276007.4661512903
0,190,50,1489194.6583352003
0,190,60,1767796.0444031665
0,200,0,256059.85009406475
0,200,10,516229.7161536281
0,200,20,780194.385426278
0,200,30,1040717.4875455159
0,200,40,1276025.8972954385
0,200,50,1489314.8020802555
0,200,60,1767706.443810422
0,210,0,256180.41899252962
0,210,10,516345.765615038
0,210,20,780113.683562724
0,210,30,1040584.2855110302
0,210,40,1276028.2575793276
0,210,50,1489664.0341406425
0,210,60,1767417.7546953107
0,220,0,256385.0073339656
0,220,10,516542.6707538229
0,220,20,779976.4521516867
0,220,30,1040358.121008903
0,220,40,1276032.2562102866
0,220,50,1490257.262574399
0,220,60,1766928.0677956198
0,230,0,256676.97132771788
0,230,10,516829.01780300995
0,230,20,779807.3983359593
0,230,30,1040063.5160729003
0,230,40,1276055.789866767
0,230,50,1491093.5055367192
0,230,60,1766249.3216472277
0,240,0,257052.93120569145
0,240,10,517206.15956720465
0,240,20,779632.0032544946
0,240,30,1039728.6729300811
0,240,40,1276114.2617832136
0,240,50,1492154.267529816
0,240,60,1765407.1941200611
0,250,0,257502.67441357722
0,250,10,517667.36851929885
0,250,20,779472.9234408867
0,250,30,1039381.7588680726
0,250,40,1276218.1356550395
0,250,50,1493404.7904464884
0,250,60,1764438.668771054
0,260,0,258010.22334075364
0,260,10,518198.36906633177
0,260,20,779346.9029497172
0,260,30,1039047.23165253
0,260,40,1276371.349084889
0,260,50,1494798.0817675455
0,260,60,1763387.7076124195
0,270,0,258555.82555162464
0,270,10,518779.13741053996
0,270,20,779262.9290392493
0,270,30,1038743.0730113892
